أفغانستان 🇦🇫,143610
ألبانيا 🇦🇱,143575
الجزائر 🇩🇿,143563
أنغولا 🇦🇴,143564
أنغويلا 🇦🇮,143538
أنتيغوا وبربودا 🇦🇬,143540
الأرجنتين 🇦🇷,143505
أرمينيا 🇦🇲,143524
أستراليا 🇦🇺,143460
النمسا 🇦🇹,143445
أذربيجان 🇦🇿,143568
الباهاماس 🇧🇸,143539
البحرين 🇧🇭,143559
باربادوس 🇧🇧,143541
بيلاروسيا 🇧🇾,143565
بلجيكا 🇧🇪,143446
بليز 🇧🇿,143555
بنين 🇧🇯,143576
برمودا 🇧🇲,143542
بوتان 🇧🇹,143577
بوليفيا 🇧🇴,143556
البوسنة والهرسك 🇧🇦,143612
بوتسوانا 🇧🇼,143525
البرازيل 🇧🇷,143503
جزر العذراء البريطانية 🇻🇬,143543
بروناي 🇧🇳,143560
بلغاريا 🇧🇬,143526
بوركينا فاسو 🇧🇫,143578
كمبوديا 🇰🇭,143579
الكاميرون 🇨🇲,143574
كندا 🇨🇦,143455
الرأس الأخضر 🇨🇻,143580
جزر كايمان 🇰🇾,143544
تشاد 🇹🇩,143581
تشيلي 🇨🇱,143483
الصين 🇨🇳,143465
كولومبيا 🇨🇴,143501
كوستاريكا 🇨🇷,143495
كرواتيا 🇭🇷,143494
قبرص 🇨🇾,143557
جمهورية التشيك 🇨🇿,143489
جمهورية الكونغو الديمقراطية 🇨🇩,143613
الدنمارك 🇩🇰,143458
دومينيكا 🇩🇲,143545
جمهورية الدومينيكان 🇩🇴,143508
الإكوادور 🇪🇨,143509
مصر 🇪🇬,143516
السلفادور 🇸🇻,143506
إستونيا 🇪🇪,143518
إسواتيني 🇸🇿,143602
ولايات ميكرونيسيا المتحدة 🇫🇲,143591
فيجي 🇫🇯,143583
فنلندا 🇫🇮,143447
فرنسا 🇫🇷,143442
الغابون 🇬🇦,143614
غامبيا 🇬🇲,143584
ألمانيا 🇩🇪,143443
غانا 🇬🇭,143573
اليونان 🇬🇷,143448
غرينادا 🇬🇩,143546
غواتيمالا 🇬🇹,143504
غينيا بيساو 🇬🇼,143585
غيانا 🇬🇾,143553
هندوراس 🇭🇳,143510
هونغ كونغ 🇭🇰,143463
المجر 🇭🇺,143482
آيسلندا 🇮🇸,143558
الهند 🇮🇳,143467
إندونيسيا 🇮🇩,143476
العراق 🇮🇶,143617
أيرلندا 🇮🇪,143449
إيطاليا 🇮🇹,143450
ساحل العاج 🇨🇮,143527
جامايكا 🇯🇲,143511
اليابان 🇯🇵,143462
الأردن 🇯🇴,143528
كازاخستان 🇰🇿,143517
كينيا 🇰🇪,143529
كوسوفو 🇽🇰,143624
الكويت 🇰🇼,143493
قيرغيزستان 🇰🇬,143586
لاوس 🇱🇦,143587
لاتفيا 🇱🇻,143519
لبنان 🇱🇧,143497
ليبيريا 🇱🇷,143588
ليبيا 🇱🇾,143567
ليتوانيا 🇱🇹,143520
لوكسمبورغ 🇱🇺,143451
ماكاو 🇲🇴,143515
مدغشقر 🇲🇬,143531
مالاوي 🇲🇼,143589
ماليزيا 🇲🇾,143473
جزر المالديف 🇲🇻,143488
مالي 🇲🇱,143532
مالطا 🇲🇹,143521
موريتانيا 🇲🇷,143590
موريشيوس 🇲🇺,143533
المكسيك 🇲🇽,143468
مولدوفا 🇲🇩,143523
منغوليا 🇲🇳,143592
الجبل الأسود 🇲🇪,143619
مونتسرات 🇲🇸,143547
المغرب 🇲🇦,143620
موزمبيق 🇲🇿,143593
ميانمار 🇲🇲,143570
ناميبيا 🇳🇦,143594
ناورو 🇳🇷,143606
نيبال 🇳🇵,143484
هولندا 🇳🇱,143452
نيوزيلندا 🇳🇿,143461
نيكاراغوا 🇳🇮,143512
النيجر 🇳🇪,143534
نيجيريا 🇳🇬,143561
مقدونيا الشمالية 🇲🇰,143530
النرويج 🇳🇴,143457
عُمان 🇴🇲,143562
باكستان 🇵🇰,143477
بالاو 🇵🇼,143595
بنما 🇵🇦,143485
بابوا غينيا الجديدة 🇵🇬,143597
باراغواي 🇵🇾,143513
بيرو 🇵🇪,143507
الفلبين 🇵🇭,143474
بولندا 🇵🇱,143478
البرتغال 🇵🇹,143453
قطر 🇶🇦,143498
جمهورية الكونغو 🇨🇬,143582
رومانيا 🇷🇴,143487
روسيا 🇷🇺,143469
رواندا 🇷🇼,143621
سانت كيتس ونيفيس 🇰🇳,143548
سانت لوسيا 🇱🇨,143549
سانت فنسنت والغرينادين 🇻🇨,143550
ساو تومي وبرينسيبي 🇸🇹,143598
المملكة العربية السعودية 🇸🇦,143479
السنغال 🇸🇳,143535
صربيا 🇷🇸,143500
سيشل 🇸🇨,143599
سيراليون 🇸🇱,143600
سنغافورة 🇸🇬,143464
سلوفاكيا 🇸🇰,143496
سلوفينيا 🇸🇮,143499
جزر سليمان 🇸🇧,143601
جنوب أفريقيا 🇿🇦,143472
كوريا الجنوبية 🇰🇷,143466
إسبانيا 🇪🇸,143454
سريلانكا 🇱🇰,143486
سورينام 🇸🇷,143554
السويد 🇸🇪,143456
سويسرا 🇨🇭,143459
تايوان 🇹🇼,143470
طاجيكستان 🇹🇯,143603
تنزانيا 🇹🇿,143572
تايلاند 🇹🇭,143475
تونغا 🇹🇴,143608
ترينيداد وتوباغو 🇹🇹,143551
تونس 🇹🇳,143536
تركيا 🇹🇷,143480
تركمانستان 🇹🇲,143604
جزر توركس وكايكوس 🇹🇨,143552
أوغندا 🇺🇬,143537
أوكرانيا 🇺🇦,143492
الإمارات العربية المتحدة 🇦🇪,143481
المملكة المتحدة 🇬🇧,143444
الولايات المتحدة 🇺🇸,143441
أوروغواي 🇺🇾,143514
أوزبكستان 🇺🇿,143566
فانواتو 🇻🇺,143609
فنزويلا 🇻🇪,143502
فيتنام 🇻🇳,143471
اليمن 🇾🇪,143571
زامبيا 🇿🇲,143622
زيمبابوي 🇿🇼,143605
